OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu972,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Eubacteriaceae,1.0000,Eubacterium,1.0000
Otu974,Bacteria,1.0000,Proteobacteria,1.0000,Alphaproteobacteria,1.0000,Rhizobiales,1.0000,Methylobacteriaceae,1.0000,Methylobacterium,1.0000
Otu975,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Clostridium_IV,0.8900
Otu976,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Lactobacillales,1.0000,Carnobacteriaceae,1.0000,Dolosigranulum,1.0000
Otu977,Bacteria,1.0000,Firmicutes,1.0000,Negativicutes,1.0000,Veillonellales,1.0000,Veillonellaceae,1.0000,Veillonella,1.0000
Otu978,Bacteria,1.0000,Proteobacteria,1.0000,Gammaproteobacteria,1.0000,Pasteurellales,1.0000,Pasteurellaceae,1.0000,Haemophilus,0.5900
Otu979,Bacteria,1.0000,Proteobacteria,1.0000,Betaproteobacteria,1.0000,Burkholderiales,1.0000,Sutterellaceae,0.9900,Sutterella,0.9900
Otu981,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.9700,Bacteroidales,0.9700,Muribaculaceae,0.7600,Paramuribaculum,0.6600
Otu980,Bacteria,1.0000,Synergistetes,1.0000,Synergistia,1.0000,Synergistales,1.0000,Synergistaceae,1.0000,Fretibacterium,1.0000
Otu986,Bacteria,0.9800,Firmicutes,0.3600,Clostridia,0.2700,Clostridiales,0.2500,Lachnospiraceae,0.1700,Borrelia,0.0500
Otu983,Bacteria,1.0000,Proteobacteria,1.0000,Alphaproteobacteria,1.0000,Sphingomonadales,1.0000,Sphingomonadaceae,1.0000,Sphingobium,1.0000
Otu984,Bacteria,1.0000,Firmicutes,1.0000,Negativicutes,1.0000,Veillonellales,1.0000,Veillonellaceae,1.0000,Veillonella,1.0000
Otu982,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Lactobacillales,1.0000,Enterococcaceae,1.0000,Tetragenococcus,1.0000
Otu985,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Anaerotruncus,0.6400
